Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-07-30,139486.85602832877,105766.66969683612,94845.13020319707,121168.64109350325,105766.66969683612,94845.13020319707,100000.0,100000.0
2024-07-31,138667.46279958443,103901.26961131263,96296.77681016836,120099.88932834355,103901.26961131263,96296.77681016836,100000.0,100000.0
2024-08-01,135733.48079790507,101920.28364361404,89973.29481333568,117314.87246398466,101920.28364361404,89973.29481333568,100000.0,100000.0
2024-08-02,129856.91595634219,97377.00481865929,85970.99209730944,113037.0232791075,97377.00481865929,85970.99209730944,100000.0,100000.0
2024-08-05,126620.20263293454,94408.82186771352,84020.3755393197,110403.0391205187,94408.82186771352,84020.3755393197,100000.0,100000.0
2024-08-06,127143.95203426399,94729.67029154008,82023.95580368298,111941.09285553597,94729.67029154008,82023.95580368298,100000.0,100000.0
2024-08-07,124276.40925815782,92564.26445315566,80185.88901683693,109479.43752070291,92564.26445315566,80185.88901683693,100000.0,100000.0
2024-08-08,128620.77041991125,94817.55939537006,81548.40024875339,112315.73795677614,94817.55939537006,81548.40024875339,100000.0,100000.0
2024-08-09,128371.26681112716,94990.75440197614,81628.60129762243,112160.1422098841,94990.75440197614,81628.60129762243,100000.0,100000.0
2024-08-12,127776.77139541446,94297.50351487295,80411.05013956103,112776.01406343679,94297.50351487295,80411.05013956103,100000.0,100000.0
2024-08-13,130044.67278694743,95834.28729061005,81704.41562819252,113281.91719079102,95834.28729061005,81704.41562819252,100000.0,100000.0
2024-08-14,129628.34116783479,95534.57079784271,80635.00459703266,112053.38581813671,95534.57079784271,80635.00459703266,100000.0,100000.0
2024-08-15,132979.77649561726,97609.47389382073,81815.07343037165,114215.59197900495,97609.47389382073,81815.07343037165,100000.0,100000.0
2024-08-16,133941.4262751722,97614.6757245978,81671.9686983317,117617.37533662589,97614.6757245978,81671.9686983317,100000.0,100000.0
2024-08-19,137595.9518695482,100848.78860326059,86587.34973700788,117617.37533662589,100848.78860326059,86587.34973700788,100000.0,100000.0
2024-08-20,137025.70472216574,100875.93719289626,86167.69180549998,117617.37533662589,100875.93719289626,86167.69180549998,100000.0,100000.0
2024-08-21,136952.4846572457,100811.01038939899,84858.36043479967,117617.37533662589,100811.01038939899,84858.36043479967,100000.0,100000.0
2024-08-22,134886.6562191556,99581.49680341763,84715.50051378971,117617.37533662589,99581.49680341763,84715.50051378971,100000.0,100000.0
2024-08-23,139908.069194499,102976.53779205709,88267.54859326033,117617.37533662589,102976.53779205709,88267.54859326033,100000.0,100000.0
